"","Organization.Name","Business.Category","Approved.Budget.of.the.Contract","Item.Name","Item.Desc","Quantity","Item.Budget"
"1","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Amies Transport Medium at least 50/pack","Bacteriology",2," 5,080.00 "
"2","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","AST MIC Strip 10's Imipenem","Bacteriology",1," 7,300.00 "
"3","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","AST MIC Strip 10's Meropenem","Bacteriology",1," 7,300.00 "
"4","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","AST MIC Strip 10's Vancomycin","Bacteriology",1," 7,300.00 "
"5","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ATCC 25922 Escherichia coli 5's","Bacteriology",1," 9,800.00 "
"6","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ATCC 49247 Heamophilus influenzae 5's","Bacteriology",1," 9,800.00 "
"7","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ATCC 25923 Staphylococcus aureus 5's","Bacteriology",1," 9,800.00 "
"8","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ATCC 49619 Streptococcus pneumoniae 5's","Bacteriology",1," 9,800.00 "
"9","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ATCC 27853 Pseudomonas auruginosa 5's","Bacteriology",1," 9,800.00 "
"10","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Bacitracin 0.04U","Bacteriology",2," 1,900.00 "
"11","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Buffered Peptone Water at laest 500g","Bacteriology",1," 4,500.00 "
"12","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Cary-Blair Agar Single swab at least 50/pack","Bacteriology",2," 9,000.00 "
"13","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Kovacs Rgt. 100ml","Bacteriology",6," 21,000.00 "
"14","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Mcfarland Standard  at least 10ml","Bacteriology",1," 5,980.00 "
